Scenario,Suspect
Two men were found at the scene: Jack and Xi.,Jack
Two men were found at the scene: Marcus and Jack.,Jack
Two men were found at the scene: Carlos and Xi.,Carlos
Two men were found at the scene: Jack and Carlos.,Carlos
Two men were found at the scene: Miguel and Chen.,Miguel
Two men were found at the scene: Darnell and Chen.,Darnell
Two men were found at the scene: Javier and Malik.,Javier
Two men were found at the scene: Andrés and Kenji.,Andrés
Two men were found at the scene: Daniel and Hiroshi.,Hiroshi
Two men were found at the scene: Lucas and Jack.,Jack
Two men were found at the scene: Miguel and Darnell.,Miguel
Two men were found at the scene: Javier and Tyrone.,Javier
Two men were found at the scene: Bryan and Chen.,Bryan
Two men were found at the scene: José and Jack.,José
Two men were found at the scene: Chris and Minho.,Minho
Two men were found at the scene: John and Wei.,Wei
Two men were found at the scene: Pedro and Takeshi.,Pedro
Two men were found at the scene: Jack and Koji.,Jack
Two men were found at the scene: Felipe and Jack.,Felipe
Two men were found at the scene: Ethan and Hiro.,Hiro
Two men were found at the scene: Mark and Jamal.,Jamal
Two men were found at the scene: Li and Raul.,Raul
Two men were found at the scene: Ben and Mateo.,Mateo
Two men were found at the scene: Isaiah and Diego.,Diego
Two men were found at the scene: Ryan and Alejandro.,Alejandro
Two men were found at the scene: James and Marcus.,Marcus
Two men were found at the scene: Jae and Malcolm.,Malcolm
Two men were found at the scene: Kevin and Dae-Hyun.,Dae-Hyun
Two men were found at the scene: Samuel and Hiroshi.,Hiroshi
Two men were found at the scene: Arthur and Min-Jun.,Min-Jun
